,A,B,C,D
1818,out,mainHall,exhibition,out
1819,other,other,out,out
1820,mainHall,hallB,mainHall,out
1821,mainHall,exhibition,out,out
1822,other,hallB,other,out
1823,exhibition,hallB,out,out
1824,mainHall,hallB,mainHall,out
1825,mainHall,mainHall,other,out
1826,exhibition,mainHall,out,out
1827,mainHall,mainHall,mainHall,out
1828,mainHall,hallB,mainHall,out
1829,mainHall,mainHall,mainHall,out
1830,mainHall,mainHall,other,out
1831,mainHall,mainHall,hallA,out
1832,out,other,other,out
1833,mainHall,hallB,mainHall,out
1834,mainHall,mainHall,out,out
1835,mainHall,mainHall,hallA,out
1836,mainHall,other,mainHall,out
1837,mainHall,mainHall,other,out
1838,other,hallC,other,out
1839,other,hallB,hallB,out
1840,out,hallB,other,out
1841,mainHall,mainHall,mainHall,out
1842,out,hallB,other,out
1843,other,hallB,other,out
1844,mainHall,mainHall,other,out
1845,other,hallB,other,out
1846,out,out,mainHall,out
1847,mainHall,mainHall,mainHall,out
1848,exhibition,mainHall,out,out
1849,mainHall,mainHall,hallA,out
1850,mainHall,mainHall,out,out
1851,mainHall,mainHall,hallA,out
1852,mainHall,mainHall,other,out
1853,out,out,mainHall,out
1854,mainHall,mainHall,other,out
1855,out,hallB,out,out
1856,mainHall,mainHall,hallA,out
1857,mainHall,hallB,mainHall,out
1858,other,other,other,other
1859,mainHall,hallB,mainHall,out
1860,out,other,other,out
1861,mainHall,mainHall,mainHall,out
1862,mainHall,hallB,out,out
1863,exhibition,exhibition,other,out
1864,other,hallB,out,out
1865,mainHall,mainHall,mainHall,out
1866,mainHall,mainHall,mainHall,out
1867,mainHall,mainHall,hallA,out
1868,mainHall,mainHall,hallA,out
1869,mainHall,mainHall,hallA,out
1870,other,exhibition,other,out
1871,out,hallB,hallB,out
1872,mainHall,mainHall,hallA,out
1873,mainHall,hallB,out,out
1874,out,hallB,out,out
1875,mainHall,mainHall,mainHall,out
1876,mainHall,out,out,out
1877,mainHall,hallB,mainHall,out
1878,out,hallB,out,out
1879,mainHall,mainHall,hallA,out
1880,other,other,out,out
1881,other,hallC,other,out
1882,other,other,out,out
1883,mainHall,mainHall,other,out
1884,mainHall,out,out,out
1885,other,hallC,other,out
1886,out,other,mainHall,out
1887,mainHall,hallB,out,out
1888,mainHall,mainHall,mainHall,out
1889,other,hallC,hallC,out
1890,other,hallB,other,out
1891,out,other,other,out
1892,mainHall,hallB,other,out
1893,other,hallB,out,out
1894,out,other,other,out
1895,mainHall,mainHall,other,out
1896,mainHall,mainHall,other,out
1897,mainHall,other,mainHall,out
1898,mainHall,mainHall,hallA,out
1899,other,other,other,out
1900,mainHall,out,out,out
1901,mainHall,mainHall,hallA,out
1902,other,other,other,out
1903,other,other,out,out
1904,out,hallA,other,out
1905,mainHall,mainHall,other,out
1906,out,other,other,out
1907,mainHall,mainHall,out,out
1908,mainHall,mainHall,hallA,out
1909,mainHall,hallB,mainHall,out
1910,mainHall,mainHall,mainHall,out
1911,mainHall,mainHall,hallA,out
1912,out,hallB,hallB,out
1913,mainHall,mainHall,other,out
1914,mainHall,mainHall,mainHall,out
1915,mainHall,mainHall,mainHall,out
1916,out,out,other,out
1917,mainHall,mainHall,hallA,out
1918,other,hallA,other,out
1919,mainHall,mainHall,out,out
1920,mainHall,hallB,out,out
1921,other,other,out,out
1922,mainHall,mainHall,hallA,out
1923,mainHall,mainHall,hallA,out
1924,out,out,other,out
1925,other,hallB,other,out
1926,mainHall,mainHall,mainHall,out
1927,exhibition,hallB,other,out
1928,mainHall,hallB,out,out
1929,mainHall,hallB,mainHall,out
1930,mainHall,mainHall,hallA,out
1931,out,hallB,other,out
1932,mainHall,mainHall,hallA,out
1933,hallB,hallB,out,out
1934,other,hallC,hallC,out
1935,mainHall,mainHall,hallA,out
1936,other,other,out,out
1937,out,hallB,other,out
1938,out,out,out,out
1939,mainHall,hallB,mainHall,out
1940,mainHall,mainHall,mainHall,out
1941,mainHall,mainHall,hallA,out
1942,mainHall,mainHall,hallA,out
1943,out,out,mainHall,out
1944,mainHall,mainHall,out,out
1945,mainHall,other,other,out
1946,out,hallB,other,out
1947,mainHall,mainHall,hallA,out
1948,other,hallA,hallA,out
1949,out,hallC,other,out
1950,mainHall,mainHall,other,out
1951,mainHall,mainHall,hallA,out
1952,mainHall,mainHall,other,out
1953,mainHall,mainHall,hallA,out
1954,exhibition,hallB,other,out
1955,mainHall,hallB,out,out
1956,exhibition,exhibition,out,out
1957,mainHall,hallB,mainHall,out
1958,other,hallA,other,out
1959,other,hallB,hallB,out
1960,other,other,other,out
1961,mainHall,hallC,hallC,out
1962,out,out,mainHall,out
1963,out,other,other,out
1964,exhibition,mainHall,other,out
1965,other,hallB,mainHall,out
1966,mainHall,mainHall,mainHall,out
1967,mainHall,mainHall,mainHall,out
1968,mainHall,mainHall,hallA,out
1969,mainHall,other,mainHall,out
1970,exhibition,other,mainHall,out
1971,mainHall,hallB,mainHall,out
1972,out,other,other,out
1973,out,hallB,hallB,out
1974,other,hallB,out,out
1975,other,other,other,out
1976,mainHall,mainHall,hallA,out
1977,other,other,out,out
1978,out,out,out,out
1979,out,hallB,hallB,out
1980,mainHall,mainHall,mainHall,out
1981,mainHall,hallB,out,out
1982,mainHall,mainHall,hallA,out
1983,exhibition,mainHall,mainHall,out
1984,mainHall,mainHall,mainHall,out
1985,mainHall,hallB,mainHall,out
1986,mainHall,mainHall,other,out
1987,mainHall,hallB,out,out
1988,mainHall,mainHall,hallA,out
1989,mainHall,mainHall,hallA,out
1990,mainHall,mainHall,mainHall,out
1991,mainHall,out,out,out
1992,other,hallC,out,out
1993,out,hallB,other,out
1994,other,hallB,exhibition,out
1995,other,hallB,out,out
1996,out,hallA,out,out
1997,mainHall,mainHall,mainHall,out
1998,out,mainHall,mainHall,out
1999,mainHall,mainHall,hallA,out
2000,exhibition,hallB,other,out
2001,out,hallB,other,out
2002,mainHall,mainHall,hallA,out
2003,out,hallB,other,out
2004,mainHall,mainHall,out,out
2005,other,other,other,out
2006,out,other,hallA,out
2007,other,hallB,hallA,out
2008,mainHall,mainHall,hallA,out
2009,mainHall,mainHall,hallA,out
2010,mainHall,hallB,mainHall,out
2011,other,other,other,out
2012,other,other,other,out
2013,out,hallB,hallB,out
2014,out,out,out,out
2015,mainHall,hallB,mainHall,out
2016,mainHall,mainHall,mainHall,out
2017,out,out,other,out
2018,mainHall,mainHall,hallA,out
2019,mainHall,hallB,mainHall,out
2020,mainHall,mainHall,other,out
2021,other,hallC,hallC,out
2022,mainHall,hallB,mainHall,out
2023,mainHall,mainHall,mainHall,out
2024,other,hallA,hallA,out
2025,mainHall,other,mainHall,out
2026,mainHall,mainHall,hallA,out
2027,out,other,out,out
2028,other,other,other,out
2029,mainHall,hallB,mainHall,out
2030,out,hallB,other,out
2031,mainHall,mainHall,out,out
2032,mainHall,hallB,mainHall,out
2033,out,hallB,other,out
2034,mainHall,mainHall,hallA,out
2035,mainHall,hallB,mainHall,out
2036,mainHall,mainHall,hallA,out
2037,mainHall,hallB,mainHall,out
2038,mainHall,hallB,mainHall,out
2039,mainHall,mainHall,mainHall,out
2040,out,hallC,other,out
2041,mainHall,mainHall,hallA,out
2042,other,hallB,hallB,out
2043,out,hallB,hallA,out
2044,mainHall,mainHall,mainHall,out
2045,mainHall,mainHall,hallA,out
2046,other,other,other,out
2047,out,hallB,other,out
2048,mainHall,hallB,mainHall,out
2049,other,other,other,out
2050,other,hallB,other,out
2051,mainHall,mainHall,mainHall,out
2052,mainHall,mainHall,hallA,out
2053,mainHall,mainHall,hallA,out
2054,out,hallB,other,out
2055,mainHall,mainHall,mainHall,out
2056,mainHall,mainHall,mainHall,out
2057,mainHall,out,out,out
2058,mainHall,mainHall,other,out
2059,out,hallB,exhibition,out
2060,mainHall,mainHall,mainHall,out
2061,mainHall,mainHall,hallA,out
2062,mainHall,mainHall,hallA,out
2063,mainHall,mainHall,other,out
2064,mainHall,mainHall,hallA,out
2065,out,hallB,other,out
2066,mainHall,mainHall,mainHall,out
2067,out,hallA,hallA,out
2068,out,hallA,other,out
2069,mainHall,mainHall,mainHall,out
2070,mainHall,mainHall,out,out
2071,other,other,out,out
2072,mainHall,mainHall,other,out
2073,other,hallB,other,out
2074,exhibition,hallC,other,out
2075,other,hallC,other,out
2076,exhibition,other,other,out
2077,mainHall,other,out,out
2078,mainHall,mainHall,mainHall,out
2079,other,other,other,out
2080,mainHall,hallB,other,out
2081,mainHall,out,out,out
2082,mainHall,hallB,mainHall,out
2083,mainHall,out,out,out
2084,out,other,other,out
2085,mainHall,mainHall,mainHall,out
2086,other,hallB,hallB,out
2087,out,hallA,hallA,out
2088,mainHall,mainHall,mainHall,out
2089,mainHall,mainHall,hallA,out
2090,out,hallC,hallC,out
2091,mainHall,mainHall,other,out
2092,mainHall,mainHall,hallA,out
2093,out,hallB,other,out
2094,other,hallC,other,out
2095,other,hallB,hallB,out
2096,other,other,other,out
2097,mainHall,hallB,mainHall,out
2098,other,hallC,other,out
2099,mainHall,other,mainHall,out
2100,out,out,exhibition,out
2101,out,out,exhibition,out
2102,mainHall,other,mainHall,out
2103,other,hallB,hallB,out
2104,other,other,out,out
2105,mainHall,mainHall,hallA,out
2106,out,other,mainHall,out
2107,other,hallB,mainHall,out
2108,out,hallB,out,out
2109,out,mainHall,mainHall,out
2110,mainHall,mainHall,hallA,out
2111,mainHall,hallB,mainHall,out
2112,mainHall,mainHall,hallA,out
2113,other,other,other,out
2114,mainHall,mainHall,mainHall,out
2115,mainHall,mainHall,hallA,out
2116,other,other,out,out
2117,mainHall,mainHall,mainHall,out
2118,mainHall,mainHall,hallA,out
2119,mainHall,mainHall,other,out
2120,mainHall,mainHall,hallA,out
2121,out,hallA,other,out
2122,other,hallB,out,out
2123,mainHall,hallB,other,out
2124,other,other,other,out
2125,other,hallB,other,out
2126,mainHall,other,mainHall,out
2127,out,out,mainHall,out
2128,other,other,out,out
2129,mainHall,mainHall,mainHall,out
2130,mainHall,mainHall,other,out
2131,mainHall,other,out,out
2132,mainHall,mainHall,mainHall,out
2133,out,hallB,out,out
2134,other,hallA,other,out
2135,mainHall,other,mainHall,out
2136,mainHall,mainHall,other,out
2137,out,hallB,other,out
2138,out,hallA,other,out
2139,other,hallA,other,out
2140,out,hallB,other,out
2141,other,other,other,out
2142,mainHall,mainHall,mainHall,out
2143,other,other,other,out
2144,other,hallB,hallA,out
2145,mainHall,mainHall,other,out
2146,mainHall,mainHall,mainHall,out
2147,other,other,other,out
2148,other,hallA,out,out
2149,mainHall,mainHall,other,out
2150,out,hallC,hallC,out
2151,mainHall,hallC,hallC,out
2152,out,other,other,out
2153,mainHall,out,out,out
2154,mainHall,mainHall,out,out
2155,out,mainHall,mainHall,out
2156,mainHall,mainHall,mainHall,out
2157,mainHall,mainHall,hallA,out
2158,mainHall,mainHall,hallA,out
2159,mainHall,out,out,out
2160,exhibition,out,out,out
2161,mainHall,hallB,mainHall,out
2162,out,hallB,out,out
2163,mainHall,mainHall,out,out
2164,mainHall,mainHall,hallA,out
2165,mainHall,mainHall,other,out
2166,other,hallB,other,out
2167,mainHall,mainHall,mainHall,out
2168,mainHall,mainHall,hallA,out
2169,out,other,other,out
2170,mainHall,mainHall,other,out
2171,mainHall,mainHall,hallA,out
2172,out,other,other,out
2173,other,other,mainHall,out
2174,other,hallC,out,out
2175,other,other,other,out
2176,mainHall,mainHall,mainHall,out
2177,other,out,out,out
2178,mainHall,mainHall,hallA,out
2179,mainHall,mainHall,out,out
2180,other,hallA,hallA,out
2181,mainHall,mainHall,hallA,out
2182,mainHall,out,out,out
2183,out,hallB,other,out
2184,mainHall,hallB,mainHall,out
2185,other,hallB,other,out
2186,mainHall,hallB,mainHall,out
2187,other,mainHall,mainHall,out
2188,mainHall,mainHall,other,out
2189,mainHall,other,mainHall,out
2190,mainHall,mainHall,other,out
2191,mainHall,mainHall,mainHall,out
2192,mainHall,mainHall,hallA,out
2193,other,other,other,out
2194,exhibition,exhibition,other,out
2195,exhibition,hallB,other,out
2196,out,hallA,hallA,out
2197,mainHall,mainHall,other,out
2198,mainHall,mainHall,mainHall,out
2199,out,hallA,hallA,out
2200,other,other,other,out
2201,mainHall,mainHall,other,out
2202,mainHall,mainHall,hallA,out
2203,mainHall,mainHall,hallA,out
2204,other,other,other,out
2205,mainHall,hallB,mainHall,out
2206,mainHall,mainHall,mainHall,out
2207,mainHall,mainHall,mainHall,out
2208,out,out,other,out
2209,mainHall,mainHall,other,out
2210,other,hallB,other,out
2211,mainHall,hallB,mainHall,out
2212,mainHall,mainHall,hallA,out
2213,mainHall,hallB,mainHall,out
2214,other,other,other,out
2215,other,hallB,out,out
2216,other,other,out,out
2217,mainHall,other,mainHall,out
2218,out,other,mainHall,out
2219,mainHall,mainHall,hallA,out
2220,mainHall,mainHall,hallA,out
2221,mainHall,mainHall,mainHall,out
2222,mainHall,mainHall,hallA,out
2223,mainHall,mainHall,hallA,out
2224,mainHall,other,out,out
2225,mainHall,mainHall,hallA,out
2226,out,other,other,out
2227,out,out,other,out
2228,out,hallB,out,out
2229,out,other,other,out
2230,out,hallB,out,out
2231,mainHall,mainHall,mainHall,out
2232,mainHall,mainHall,mainHall,out
2233,other,other,other,out
2234,mainHall,mainHall,hallA,out
2235,mainHall,mainHall,hallA,out
2236,out,hallB,other,out
2237,out,hallA,hallA,out
2238,mainHall,mainHall,hallA,out
2239,mainHall,mainHall,mainHall,out
2240,other,hallB,out,out
2241,mainHall,mainHall,hallA,out
2242,out,hallB,other,out
2243,other,hallB,mainHall,out
2244,out,hallB,other,out
2245,exhibition,other,mainHall,out
2246,mainHall,other,mainHall,out
2247,mainHall,mainHall,hallA,out
2248,mainHall,mainHall,hallA,out
2249,mainHall,mainHall,hallA,out
2250,out,hallA,other,out
2251,out,hallC,hallC,out
2252,other,hallC,other,out
2253,mainHall,other,other,out
2254,mainHall,hallB,mainHall,out
2255,mainHall,mainHall,hallA,out
2256,exhibition,out,out,out
2257,mainHall,mainHall,mainHall,out
2258,other,hallB,other,out
2259,mainHall,mainHall,hallA,out
2260,out,hallA,hallA,out
2261,mainHall,mainHall,mainHall,out
2262,mainHall,mainHall,other,out
2263,mainHall,other,mainHall,out
2264,exhibition,hallB,other,out
2265,exhibition,hallA,hallA,out
2266,mainHall,mainHall,other,out
2267,other,other,other,out
2268,out,out,mainHall,out
2269,mainHall,mainHall,other,out
2270,mainHall,other,mainHall,out
2271,mainHall,mainHall,hallA,out
2272,mainHall,mainHall,hallA,out
2273,out,out,other,out
2274,out,other,out,out
2275,mainHall,mainHall,hallA,out
2276,other,hallB,hallB,out
2277,out,hallB,mainHall,out
2278,mainHall,hallB,other,out
2279,mainHall,mainHall,hallA,out
2280,mainHall,mainHall,mainHall,out
2281,mainHall,mainHall,other,out
2282,mainHall,mainHall,hallA,out
2283,out,hallB,out,out
2284,mainHall,mainHall,out,out
2285,out,hallA,hallA,out
2286,mainHall,mainHall,hallA,out
2287,mainHall,mainHall,hallA,out
2288,mainHall,mainHall,hallA,out
2289,mainHall,mainHall,hallA,out
2290,out,hallC,other,out
2291,other,hallB,out,out
2292,mainHall,hallB,other,out
2293,mainHall,mainHall,mainHall,out
2294,mainHall,mainHall,hallA,out
2295,other,other,other,out
2296,out,hallC,other,out
2297,other,hallC,other,out
2298,other,hallB,other,out
2299,other,hallC,hallC,out
2300,out,other,hallA,out
2301,mainHall,hallB,out,out
2302,out,hallA,hallA,out
2303,mainHall,mainHall,other,out
2304,mainHall,mainHall,hallA,out
2305,mainHall,other,other,out
2306,other,other,other,out
2307,mainHall,out,out,out
2308,mainHall,mainHall,mainHall,out
2309,mainHall,exhibition,exhibition,out
2310,mainHall,mainHall,other,out
2311,other,other,other,out
2312,mainHall,other,mainHall,out
2313,other,hallB,out,out
2314,mainHall,mainHall,hallA,out
2315,out,other,other,out
2316,mainHall,mainHall,out,out
2317,out,hallB,other,out
2318,mainHall,mainHall,other,out
2319,mainHall,mainHall,hallA,out
2320,out,hallB,out,out
2321,out,out,out,out
2322,exhibition,other,other,out
2323,mainHall,mainHall,hallA,out
2324,mainHall,hallB,mainHall,out
2325,other,other,other,out
2326,other,other,other,out
2327,mainHall,mainHall,hallA,out
2328,out,out,other,out
2329,mainHall,mainHall,other,out
2330,mainHall,mainHall,hallA,out
2331,mainHall,other,mainHall,out
2332,mainHall,mainHall,other,out
2333,mainHall,mainHall,hallA,out
2334,mainHall,mainHall,out,out
2335,other,mainHall,other,out
2336,mainHall,mainHall,mainHall,out
2337,mainHall,mainHall,other,out
2338,mainHall,exhibition,other,out
2339,other,hallB,out,out
2340,mainHall,other,mainHall,out
2341,mainHall,mainHall,hallA,out
2342,out,hallB,out,out
2343,mainHall,mainHall,mainHall,out
2344,other,mainHall,mainHall,out
2345,other,hallB,out,out
2346,out,hallA,hallA,out
2347,other,hallB,out,out
2348,other,out,out,out
2349,mainHall,mainHall,other,out
2350,other,other,other,out
2351,mainHall,hallB,mainHall,out
2352,out,hallC,hallC,out
2353,mainHall,mainHall,mainHall,out
2354,mainHall,mainHall,mainHall,out
2355,mainHall,mainHall,other,out
2356,out,hallC,other,out
2357,out,hallB,other,out
2358,out,out,mainHall,out
2359,out,hallB,out,out
2360,mainHall,mainHall,hallA,out
2361,mainHall,mainHall,out,out
2362,mainHall,hallB,mainHall,out
2363,mainHall,hallB,mainHall,out
2364,exhibition,hallA,other,out
2365,mainHall,mainHall,mainHall,out
2366,other,other,other,other
2367,exhibition,hallB,other,out
2368,mainHall,exhibition,exhibition,out
2369,mainHall,mainHall,hallA,out
2370,mainHall,mainHall,out,out
2371,mainHall,mainHall,mainHall,out
2372,out,hallA,hallA,out
2373,mainHall,hallB,out,out
2374,other,hallB,other,out
2375,mainHall,mainHall,hallA,out
2376,other,other,out,out
2377,mainHall,hallB,mainHall,out
2378,mainHall,mainHall,hallA,out
2379,out,hallC,other,out
2380,other,other,exhibition,out
2381,out,out,other,out
2382,out,out,out,out
2383,out,exhibition,exhibition,out
2384,mainHall,mainHall,mainHall,out
2385,mainHall,mainHall,mainHall,out
2386,mainHall,mainHall,mainHall,out
2387,mainHall,hallB,mainHall,out
2388,other,hallB,out,out
2389,other,other,out,out
2390,other,other,other,out
2391,mainHall,mainHall,other,out
2392,mainHall,mainHall,mainHall,out
2393,mainHall,mainHall,hallA,out
2394,mainHall,mainHall,mainHall,out
2395,other,other,out,out
2396,mainHall,hallB,mainHall,out
2397,other,hallB,hallB,out
2398,mainHall,mainHall,mainHall,out
2399,mainHall,mainHall,out,out
2400,other,hallA,hallA,out
2401,other,hallB,hallB,out
2402,other,other,other,out
2403,out,hallA,hallA,out
2404,other,hallA,other,out
2405,mainHall,mainHall,other,out
2406,out,hallB,exhibition,out
2407,exhibition,hallC,hallC,out
2408,out,out,mainHall,out
2409,out,hallC,other,out
2410,mainHall,other,mainHall,out
2411,mainHall,mainHall,hallA,out
2412,mainHall,other,out,out
2413,out,hallB,hallB,out
2414,other,other,other,out
2415,other,hallB,other,out
2416,mainHall,mainHall,other,out
2417,mainHall,mainHall,other,out
2418,out,hallB,other,out
2419,mainHall,hallB,mainHall,out
2420,exhibition,hallB,other,out
2421,out,hallC,other,out
2422,other,hallC,out,out
2423,mainHall,hallB,out,out
2424,other,other,other,out
2425,out,out,out,out
2426,mainHall,mainHall,hallA,out
2427,out,hallB,other,out
2428,mainHall,mainHall,mainHall,out
2429,mainHall,mainHall,other,out
2430,out,hallB,other,out
2431,mainHall,mainHall,other,out
2432,out,exhibition,other,out
2433,other,other,other,out
2434,mainHall,other,mainHall,out
2435,mainHall,mainHall,mainHall,out
2436,out,out,mainHall,out
2437,out,other,other,out
2438,mainHall,hallB,exhibition,out
2439,mainHall,mainHall,mainHall,out
2440,mainHall,mainHall,mainHall,out
2441,out,hallC,out,out
2442,out,mainHall,mainHall,out
2443,mainHall,mainHall,mainHall,out
2444,mainHall,mainHall,other,out
2445,mainHall,mainHall,mainHall,out
2446,other,hallB,other,out
2447,mainHall,other,mainHall,out
2448,other,hallB,hallB,out
2449,mainHall,hallB,hallB,out
2450,other,other,other,out
2451,other,other,out,out
2452,other,other,out,out
2453,other,hallB,out,out
2454,out,hallA,other,out
2455,mainHall,hallB,mainHall,out
2456,out,other,mainHall,out
2457,out,other,out,out
2458,mainHall,mainHall,other,out
2459,mainHall,mainHall,hallA,out
2460,other,other,out,out
2461,other,hallB,other,out
2462,mainHall,hallB,other,out
2463,other,other,other,out
2464,other,other,other,out
2465,mainHall,mainHall,other,out
2466,mainHall,mainHall,mainHall,out
2467,mainHall,mainHall,hallA,out
2468,other,hallB,hallB,out
2469,mainHall,hallB,mainHall,out
2470,mainHall,mainHall,other,out
2471,exhibition,hallB,other,out
2472,other,other,other,other
2473,out,out,out,out
2474,other,out,out,out
2475,mainHall,mainHall,hallA,out
2476,mainHall,mainHall,hallA,out
2477,out,hallB,other,out
2478,out,hallC,out,out
2479,mainHall,mainHall,other,out
2480,mainHall,mainHall,mainHall,out
2481,mainHall,mainHall,hallA,out
2482,mainHall,mainHall,out,out
2483,mainHall,mainHall,hallA,out
2484,mainHall,mainHall,hallA,out
2485,exhibition,out,out,out
2486,out,other,mainHall,out
2487,out,other,out,out
2488,mainHall,mainHall,other,out
2489,other,out,out,out
2490,mainHall,mainHall,mainHall,out
2491,mainHall,mainHall,mainHall,out
2492,mainHall,mainHall,hallA,out
2493,other,other,out,out
2494,other,hallC,other,out
2495,out,mainHall,exhibition,out
2496,out,hallA,hallA,out
2497,mainHall,mainHall,hallA,out
2498,other,other,other,out
2499,mainHall,mainHall,mainHall,out
2500,mainHall,mainHall,hallA,out
2501,mainHall,mainHall,hallA,out
2502,other,other,out,out
2503,exhibition,out,out,out
2504,exhibition,other,mainHall,out
2505,out,other,mainHall,out
2506,mainHall,out,out,out
2507,mainHall,mainHall,mainHall,out
2508,mainHall,mainHall,hallA,out
2509,mainHall,mainHall,out,out
2510,out,hallB,hallB,out
2511,mainHall,hallB,mainHall,out
2512,out,mainHall,exhibition,out
2513,out,mainHall,mainHall,out
2514,mainHall,hallB,out,out
2515,mainHall,mainHall,hallA,out
2516,out,other,mainHall,out
2517,mainHall,hallB,other,out
2518,other,exhibition,out,out
2519,other,other,other,out
2520,out,out,other,out
2521,out,hallB,other,out
2522,mainHall,mainHall,other,out
2523,out,other,other,out
2524,out,out,out,out
2525,out,hallB,out,out
2526,mainHall,mainHall,mainHall,out
2527,out,hallB,mainHall,out
2528,out,out,out,out
2529,mainHall,mainHall,other,out
2530,out,out,other,out
2531,out,other,other,out
2532,mainHall,mainHall,mainHall,out
2533,other,hallB,hallA,out
2534,mainHall,other,mainHall,out
2535,other,hallA,out,out
2536,mainHall,hallB,mainHall,out
2537,mainHall,mainHall,hallA,out
2538,other,hallC,hallC,out
2539,out,hallA,hallA,out
2540,out,hallB,hallB,out
2541,mainHall,hallB,out,out
2542,other,hallB,out,out
2543,out,hallA,hallA,out
2544,exhibition,mainHall,mainHall,out
2545,other,hallA,hallA,out
2546,out,hallB,other,out
2547,mainHall,mainHall,mainHall,out
2548,mainHall,other,mainHall,out
2549,other,hallC,out,out
2550,mainHall,other,mainHall,out
2551,other,other,other,out
2552,mainHall,other,mainHall,out
2553,out,hallB,other,out
2554,mainHall,mainHall,hallA,out
2555,other,hallB,other,out
2556,other,other,out,out
2557,out,out,mainHall,out
2558,out,hallB,other,out
2559,mainHall,mainHall,mainHall,out
2560,mainHall,mainHall,hallA,out
2561,other,other,other,out
2562,mainHall,out,out,out
2563,exhibition,other,mainHall,out
2564,mainHall,mainHall,other,out
2565,exhibition,hallB,other,out
2566,mainHall,mainHall,other,out
2567,mainHall,mainHall,hallA,out
2568,mainHall,hallB,mainHall,out
2569,mainHall,mainHall,hallA,out
2570,other,other,out,out
2571,mainHall,other,mainHall,out
2572,mainHall,mainHall,mainHall,out
2573,exhibition,other,other,out
2574,other,other,other,out
2575,mainHall,hallB,mainHall,out
2576,out,hallB,other,out
2577,mainHall,mainHall,other,out
2578,mainHall,mainHall,mainHall,out
2579,out,out,out,out
2580,mainHall,out,out,out
2581,other,hallC,hallC,out
2582,mainHall,mainHall,other,out
2583,mainHall,mainHall,other,out
2584,out,hallC,other,out
2585,mainHall,mainHall,hallA,out
2586,other,mainHall,mainHall,out
2587,out,hallB,other,out
2588,out,out,mainHall,out
2589,mainHall,mainHall,other,out
2590,other,other,other,out
2591,mainHall,mainHall,mainHall,out
2592,mainHall,mainHall,hallA,out
2593,exhibition,hallB,out,out
2594,out,hallC,other,out
2595,mainHall,mainHall,other,out
2596,exhibition,exhibition,other,out
2597,mainHall,mainHall,hallA,out
2598,mainHall,mainHall,other,out
2599,mainHall,mainHall,hallA,out
2600,out,hallB,other,out
2601,mainHall,hallB,mainHall,out
2602,other,hallB,out,out
2603,mainHall,mainHall,other,out
2604,mainHall,hallB,out,out
2605,out,hallB,other,out
2606,mainHall,hallB,mainHall,out
2607,other,other,other,out
2608,out,other,mainHall,out
2609,exhibition,hallB,other,out
2610,out,other,out,out
2611,out,other,other,out
2612,out,hallB,hallB,out
2613,mainHall,hallB,mainHall,out
2614,mainHall,mainHall,hallA,out
2615,exhibition,out,out,out
2616,other,hallB,hallB,out
2617,other,other,other,out
2618,out,hallB,out,out
2619,mainHall,mainHall,hallA,out
2620,mainHall,mainHall,other,out
2621,exhibition,mainHall,other,out
2622,other,other,other,out
2623,exhibition,hallB,other,out
2624,out,other,hallA,out
2625,other,other,other,out
2626,exhibition,hallA,other,out
2627,mainHall,mainHall,other,out
2628,mainHall,mainHall,mainHall,out
2629,mainHall,out,out,out
2630,other,other,other,out
2631,out,hallB,other,out
2632,other,hallB,hallA,out
2633,out,exhibition,hallA,out
2634,mainHall,exhibition,exhibition,out
2635,other,hallB,other,out
2636,mainHall,mainHall,hallA,out
2637,mainHall,mainHall,hallA,out
2638,out,hallB,out,out
2639,other,other,other,out
2640,mainHall,mainHall,mainHall,out
2641,mainHall,mainHall,mainHall,out
2642,other,hallB,other,out
2643,mainHall,mainHall,hallA,out
2644,other,hallC,other,out
2645,mainHall,mainHall,hallA,out
2646,other,hallB,hallB,out
2647,mainHall,hallB,mainHall,out
2648,out,hallB,other,out
2649,out,other,other,out
2650,out,hallB,out,out
2651,out,hallB,out,out
2652,other,hallB,hallA,out
2653,mainHall,mainHall,hallA,out
2654,other,hallB,hallB,out
2655,out,hallB,out,out
2656,mainHall,hallB,out,out
2657,mainHall,mainHall,mainHall,out
2658,mainHall,hallB,mainHall,out
2659,out,out,mainHall,out
2660,out,hallB,other,out
2661,other,other,out,out
2662,mainHall,mainHall,hallA,out
2663,mainHall,hallB,other,out
2664,other,other,out,out
2665,other,other,other,out
2666,mainHall,mainHall,hallA,out
2667,other,other,other,out
2668,mainHall,hallB,mainHall,out
2669,mainHall,mainHall,hallA,out
2670,out,hallB,other,out
2671,mainHall,hallB,mainHall,out
2672,out,hallA,other,out
2673,mainHall,mainHall,mainHall,out
2674,mainHall,mainHall,hallA,out
2675,out,hallB,other,out
2676,other,other,other,out
2677,other,hallB,out,out
2678,other,hallB,out,out
2679,other,hallB,hallB,out
2680,mainHall,mainHall,mainHall,out
2681,out,out,out,out
2682,mainHall,mainHall,mainHall,out
2683,mainHall,mainHall,hallA,out
2684,mainHall,mainHall,hallA,out
2685,out,hallA,hallA,out
2686,out,other,other,out
2687,other,hallC,out,out
2688,out,other,mainHall,out
2689,other,hallC,other,out
2690,out,hallA,hallA,out
2691,exhibition,exhibition,out,out
2692,other,hallA,hallA,out
2693,mainHall,mainHall,mainHall,out
2694,other,other,other,out
2695,other,hallB,other,out
2696,other,other,other,out
2697,mainHall,hallB,out,out
2698,out,hallB,other,out
2699,mainHall,mainHall,hallA,out
2700,mainHall,hallB,mainHall,out
